image_id,image_name,strategy,budget,psnr,ssim
0,synthetic_0000.jpg,tiny_pixel_grid,64,25.82156699865299,0.3238906651208225
0,synthetic_0000.jpg,tiny_pixel_grid,96,25.824386032169077,0.3240474777813931
0,synthetic_0000.jpg,tiny_pixel_grid,124,25.829186961444435,0.3244151612965321
0,synthetic_0000.jpg,tiny_pixel_grid,256,25.841795149551974,0.325407209785741
0,synthetic_0000.jpg,tiny_pixel_grid,512,25.87549716033361,0.33012870187169346
0,synthetic_0000.jpg,tiny_pixel_grid,1024,25.9380101482917,0.3433833335998786
0,synthetic_0000.jpg,dct_coefficients,64,25.88741622719631,0.34301769198381943
0,synthetic_0000.jpg,dct_coefficients,96,25.923148803017618,0.35216284550656995
0,synthetic_0000.jpg,dct_coefficients,124,25.954219859093776,0.35966448882040464
0,synthetic_0000.jpg,dct_coefficients,256,26.079325625845957,0.38911539801379774
0,synthetic_0000.jpg,dct_coefficients,512,26.29048878011662,0.4350708488214399
0,synthetic_0000.jpg,dct_coefficients,1024,26.639602072843577,0.5008019694548712
0,synthetic_0000.jpg,mean_color_blocks,64,25.818841630359934,0.3243533372979323
0,synthetic_0000.jpg,mean_color_blocks,96,25.819549407738865,0.3242674981284888
0,synthetic_0000.jpg,mean_color_blocks,124,25.81838246699302,0.3244185033316438
0,synthetic_0000.jpg,mean_color_blocks,256,25.83334345696653,0.3263795959312787
0,synthetic_0000.jpg,mean_color_blocks,512,25.75116034373702,0.3211764493258416
0,synthetic_0000.jpg,mean_color_blocks,1024,25.876307292016666,0.3405217395965739
1,synthetic_0001.jpg,tiny_pixel_grid,64,25.87226182091564,0.32497759108764845
1,synthetic_0001.jpg,tiny_pixel_grid,96,25.87349744975439,0.32500951608824785
1,synthetic_0001.jpg,tiny_pixel_grid,124,25.875597564297742,0.3249727212186413
1,synthetic_0001.jpg,tiny_pixel_grid,256,25.898086511136352,0.3267659627936038
1,synthetic_0001.jpg,tiny_pixel_grid,512,25.92862159354494,0.3311393478376236
1,synthetic_0001.jpg,tiny_pixel_grid,1024,25.988551859630277,0.34243043003257995
1,synthetic_0001.jpg,dct_coefficients,64,25.940146501734837,0.34513337394905835
1,synthetic_0001.jpg,dct_coefficients,96,25.97584020203292,0.353406034235874
1,synthetic_0001.jpg,dct_coefficients,124,26.00284816812001,0.36046706322197947
1,synthetic_0001.jpg,dct_coefficients,256,26.12389057749439,0.3898950237785171
1,synthetic_0001.jpg,dct_coefficients,512,26.323797724322453,0.4336090257969367
1,synthetic_0001.jpg,dct_coefficients,1024,26.661810819520596,0.4981026258589792
1,synthetic_0001.jpg,mean_color_blocks,64,25.86463780808298,0.32498595656418255
1,synthetic_0001.jpg,mean_color_blocks,96,25.86913176894636,0.32551584134247863
1,synthetic_0001.jpg,mean_color_blocks,124,25.870893688106854,0.3254852931349196
1,synthetic_0001.jpg,mean_color_blocks,256,25.88912863034234,0.3280339847602471
1,synthetic_0001.jpg,mean_color_blocks,512,25.812341598233136,0.3237304755128123
1,synthetic_0001.jpg,mean_color_blocks,1024,25.93702154040735,0.34146852003235867
2,synthetic_0002.jpg,tiny_pixel_grid,64,28.426392532338248,0.4027017537428577
2,synthetic_0002.jpg,tiny_pixel_grid,96,28.430863765987496,0.4027678083541564
2,synthetic_0002.jpg,tiny_pixel_grid,124,28.43566659595438,0.4030169069184461
2,synthetic_0002.jpg,tiny_pixel_grid,256,28.44648149548755,0.40358949534065364
2,synthetic_0002.jpg,tiny_pixel_grid,512,28.481406138101942,0.4078963293913927
2,synthetic_0002.jpg,tiny_pixel_grid,1024,28.5263490094551,0.4156179656254118
2,synthetic_0002.jpg,dct_coefficients,64,28.48422987796866,0.4180730233249843
2,synthetic_0002.jpg,dct_coefficients,96,28.52232471493087,0.4258735784352023
2,synthetic_0002.jpg,dct_coefficients,124,28.54445700259852,0.4306723119227058
2,synthetic_0002.jpg,dct_coefficients,256,28.660005320079822,0.4537159522660943
2,synthetic_0002.jpg,dct_coefficients,512,28.856018308808,0.4898401656068721
